Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
2,7,Bijan Robinson,ATL,RB,22.8,3,8,8244,1.1,8244
2,7,Bijan Robinson,ATL,RB,22.8,3,8,8244,1.2,8244
2,7,Bijan Robinson,ATL,RB,22.8,3,8,8244,1.3,8244
2,8,Jalen Hurts,PHI,QB,26.3,3,10,8236,Baseline,8236
2,8,Jalen Hurts,PHI,QB,26.3,3,10,8236,1.1,8236
2,8,Jalen Hurts,PHI,QB,26.3,3,10,8236,1.2,8236
2,8,Jalen Hurts,PHI,QB,26.3,3,10,8236,1.3,8236
2,9,Amon-Ra St. Brown,DET,WR,25.1,3,0,8082,Baseline,8082
2,9,Amon-Ra St. Brown,DET,WR,25.1,3,0,8082,1.1,8082
2,9,Amon-Ra St. Brown,DET,WR,25.1,3,0,8082,1.2,8082
2,9,Amon-Ra St. Brown,DET,WR,25.1,3,0,8082,1.3,8082
2,10,Joe Burrow,CIN,QB,27.9,3,6,8054,Baseline,8054
2,10,Joe Burrow,CIN,QB,27.9,3,6,8054,1.1,8054
2,10,Joe Burrow,CIN,QB,27.9,3,6,8054,1.2,8054
2,10,Joe Burrow,CIN,QB,27.9,3,6,8054,1.3,8054
2,11,Jahmyr Gibbs,DET,RB,22.7,4,6,7895,Baseline,7895
2,11,Jahmyr Gibbs,DET,RB,22.7,4,6,7895,1.1,7895
2,11,Jahmyr Gibbs,DET,RB,22.7,4,6,7895,1.2,7895
2,11,Jahmyr Gibbs,DET,RB,22.7,4,6,7895,1.3,7895
2,12,CeeDee Lamb,DAL,WR,25.6,4,-4,7881,Baseline,7881
2,12,CeeDee Lamb,DAL,WR,25.6,4,-4,7881,1.1,7881
2,12,CeeDee Lamb,DAL,WR,25.6,4,-4,7881,1.2,7881
2,12,CeeDee Lamb,DAL,WR,25.6,4,-4,7881,1.3,7881
2,13,C.J. Stroud,HOU,QB,23.1,5,-6,7599,Baseline,7599
2,13,C.J. Stroud,HOU,QB,23.1,5,-6,7599,1.1,7599
2,13,C.J. Stroud,HOU,QB,23.1,5,-6,7599,1.2,7599
2,13,C.J. Stroud,HOU,QB,23.1,5,-6,7599,1.3,7599
2,14,Brock Bowers,LVR,TE,21.9,5,5,7463,Baseline,7463
2,14,Brock Bowers,LVR,TE,21.9,5,5,7463,1.1,8277
2,14,Brock Bowers,LVR,TE,21.9,5,5,7463,1.2,9050
2,14,Brock Bowers,LVR,TE,21.9,5,5,7463,1.3,9823
2,15,Nico Collins,HOU,WR,25.7,5,-1,7400,Baseline,7400
2,15,Nico Collins,HOU,WR,25.7,5,-1,7400,1.1,7400
2,15,Nico Collins,HOU,WR,25.7,5,-1,7400,1.2,7400
2,15,Nico Collins,HOU,WR,25.7,5,-1,7400,1.3,7400
2,16,Marvin Harrison Jr.,ARI,WR,22.3,6,-4,7235,Baseline,7235
2,16,Marvin Harrison Jr.,ARI,WR,22.3,6,-4,7235,1.1,7235
2,16,Marvin Harrison Jr.,ARI,WR,22.3,6,-4,7235,1.2,7235
2,16,Marvin Harrison Jr.,ARI,WR,22.3,6,-4,7235,1.3,7235
