Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.2,5986
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.3,5986
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,Baseline,5983
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.1,6685
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.2,7325
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.3,7965
44,Ladd McConkey,LAC,WR,23.0,9,22,5923,Baseline,5923
44,Ladd McConkey,LAC,WR,23.0,9,22,5923,1.1,5923
44,Ladd McConkey,LAC,WR,23.0,9,22,5923,1.2,5923
44,Ladd McConkey,LAC,WR,23.0,9,22,5923,1.3,5923
45,Tee Higgins,CIN,WR,25.8,10,-8,5831,Baseline,5831
45,Tee Higgins,CIN,WR,25.8,10,-8,5831,1.1,5831
45,Tee Higgins,CIN,WR,25.8,10,-8,5831,1.2,5831
45,Tee Higgins,CIN,WR,25.8,10,-8,5831,1.3,5831
46,2027 Early 1st,FA,PICK,N/A,10,3,5798,Baseline,5798
46,2027 Early 1st,FA,PICK,N/A,10,3,5798,1.1,5798
46,2027 Early 1st,FA,PICK,N/A,10,3,5798,1.2,5798
46,2027 Early 1st,FA,PICK,N/A,10,3,5798,1.3,5798
47,Joe Mixon,HOU,RB,28.3,10,28,5739,Baseline,5739
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.1,5739
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.2,5739
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.3,5739
48,Jordan Love,GBP,QB,26.0,10,2,5668,Baseline,5668
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.1,5668
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.2,5668
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.3,5668
49,Isiah Pacheco,KCC,RB,25.7,10,10,5662,Baseline,5662
49,Isiah Pacheco,KCC,RB,25.7,10,10,5662,1.1,5662
49,Isiah Pacheco,KCC,RB,25.7,10,10,5662,1.2,5662
49,Isiah Pacheco,KCC,RB,25.7,10,10,5662,1.3,5662
50,Tyreek Hill,MIA,WR,30.7,10,-6,5656,Baseline,5656
50,Tyreek Hill,MIA,WR,30.7,10,-6,5656,1.1,5656
50,Tyreek Hill,MIA,WR,30.7,10,-6,5656,1.2,5656
50,Tyreek Hill,MIA,WR,30.7,10,-6,5656,1.3,5656
